hid,lat,lng,place,tier,airport,landmarks,bar,hospital,food,atm,market_place,bus_station,movie_theatre,train_station,spa_gym,offices,
10117,27.50881958,77.67156982,Mathura,3,No,1.624825532,0,0.924093724,1.032047657,0.599781193,1.006694993,1.93746603,1.97140767,1.394163038,1.600168998,1.776132857,
10121,15.2950592,73.9099884,Goa,2,Yes,6.818207109,1.111003815,4.084359544,1.249303244,1.624306358,1.227302609,1.769995181,3.841386452,6.170312608,2.539992128,4.672071761,
10123,26.91008759,70.91786957,Jaisalmer,3,No,0.276779842,1.373643704,1.262175564,0.379282709,0.553947763,0.65370562,0.681193165,0.957013142,1.294538171,1.813544215,0.48390885,
10124,12.97646713,77.58058167,Bangalore,1,Yes,1.796629949,1.214535004,2.188374845,2.031810713,0.333706164,0.66673945,1.124388769,0.711292491,2.826530373,1.971560949,1.052588206,
10125,24.59028816,72.71115875,Mount Abu,3,No,0.376551765,0,0.544712606,0.174621224,0.190736001,0,0.964958362,0,0,0,0,
10127,12.82671928,80.24049377,Chennai,1,Yes,5.291135156,2.514240471,2.188284565,1.442977335,1.346666588,1.888472399,0.867592829,3.601421276,0,2.337022666,7.106170957,
10129,12.91062927,80.24983215,Chennai,1,Yes,7.472965453,2.569264023,2.248806743,1.2174169,0.842697396,0.892783569,1.655994842,3.454404689,7.649505918,2.286975222,5.080900077,
10130,10.68585587,79.83366394,Velankanni,3,No,1.478292158,1.290140323,1.148484907,1.213079586,1.708087417,1.360321352,2.309931703,0,6.887525778,0.343921864,6.710485742,
10131,13.27197075,75.340065,Horanadu,3,No,1.338264235,0,4.687026011,5.035507468,0.597710858,0.707583075,0.20933981,0,0,0,7.958788445,
10132,12.45751381,75.96047974,Coorg,3,No,5.871668391,0,2.430510746,0.44855225,0.821771683,0.220546456,0.164949438,0,0,3.071287393,0.106521294,
10133,13.41757393,75.25308228,Sringeri,3,No,0.226243897,0,1.203968871,0.191856095,0.175543321,0.284713196,1.651971333,0,0,0,0.936739258,
10134,18.53076935,73.87435913,Pune,2,No,2.042922593,0.813477002,1.376642764,1.269689492,0.33378242,1.028957684,0.94216514,1.347113006,0.768706978,1.464374551,1.535512152,
10137,12.94739532,79.31947327,Vellore,3,No,4.840092427,0,1.735924148,1.641226541,1.269247489,1.914545732,1.22326458,3.338143111,6.610702433,2.114013174,5.527086037,
10138,26.48506927,74.5669632,Pushkar,3,No,1.250571204,3.828077838,1.628912042,1.156666369,1.060138702,1.223183857,1.279065978,4.366453565,3.915246207,4.480690469,7.238258431,
10139,26.50152588,74.54927063,Pushkar,3,No,1.375897545,1.326642695,1.683797112,1.391543347,1.601511942,1.432414003,1.396457799,0,3.400709513,0,9.584950612,
10140,10.51303196,76.21177673,Thrissur,3,No,1.444032154,0.839633158,0.63019485,0.766176307,0.913728202,0.734193267,0.593722596,1.004480778,3.463807685,0.762403754,1.315235104,
10143,15.54861164,73.76229858,Goa,2,Yes,4.016991378,0.763029464,0.740454441,0.649264204,0.342270727,0.489929485,1.589683073,0,9.497294648,0.843333742,2.355616573,
10144,27.06006241,88.46999359,Kalimpong,3,No,0.940173282,0.767119618,0.995405067,0.83042713,1.09625993,1.30669859,0.954435373,1.782962481,0,0.960990631,4.407169811,
10146,13.63011265,79.420578,Tirupati,2,Yes,1.052635322,1.054002319,0.531981046,0.366470161,0.547562942,0.447398351,0.886008586,0.315381502,6.952934473,0.798110484,1.764445272,
10147,17.43809319,78.48858643,Hyderabad,1,Yes,3.44527167,2.073290297,1.38366789,0.473318365,0.503921074,0.268118996,0.895053482,0.783828834,3.013874801,1.313722247,2.399467032,
10149,30.14805222,77.30615997,Yamuna Nagar,3,No,1.428259157,2.31154901,0.493650732,1.486009087,1.177459505,1.317138388,2.603439521,1.572747113,5.808649248,1.895061452,2.017089115,
10150,23.23389816,77.43122101,Bhopal,2,Yes,3.044227258,0.63326482,0.8894362,0.264856113,0.21632808,0.165383024,0.74146631,0.381215091,2.179537322,0.344633345,0.77935286,
