hid,lat,lng
51588,12.63776779,80.19778442
51590,12.99073029,80.25593567
51592,13.06549263,80.20964813
51594,13.07212925,80.2020874
51596,13.06939602,80.2098999
51598,28.50021744,77.09937286
51600,28.48656654,77.0796051
51604,28.55135155,77.24224091
51606,32.69602585,74.86989594
51608,26.11758995,85.38405609
51610,22.59182739,88.40714264
51612,19.05972481,72.90113831
51614,19.0165863,72.84325409
51616,19.02084541,72.83680725
51618,13.05630398,80.25399017
51620,19.04804611,72.85700989
51622,19.07960892,72.85002136
51624,12.98685074,80.22331238
51626,19.06837654,72.87512207
51628,19.15447235,72.93753052
51630,13.02399826,80.22773743
51632,19.02176857,72.83755493
51634,13.03985786,80.24744415
51636,13.05299091,80.22409058
51638,18.99861526,72.81733704
51640,13.04197788,80.1798172
51642,13.05221939,80.22026825
51644,19.15966415,72.99526978
51646,13.06049347,80.27745056
51648,19.02470207,72.8405838
51650,13.05165386,80.23432159
51652,13.05098057,80.22705841
51654,19.27233887,72.87618256
51656,19.1870079,72.83509827
51658,13.06125832,80.21347809
51660,12.97146416,80.15087128
51662,19.12531853,72.82504272
51664,19.17398834,72.87413025
51666,13.06208611,80.25522614
51668,13.06998253,80.20430756
51670,13.07388496,80.1996994
51674,29.46136665,79.14564514
51676,23.85059929,72.12889862
51678,27.16613388,78.05271149
51680,16.71350098,74.24874115
51682,20.8962822,70.40989685
51684,10.44891834,77.52094269
51688,27.16613388,78.05271149
51690,19.884655,75.32299042
51692,24.331007,72.85165405
51686,21.17081451,72.8204422
51694,23.85156631,72.12320709
51696,13.31501293,75.7758255
51700,27.16459274,78.05458832
51702,23.85249329,72.12537384
51698,26.74316406,83.88041687
51704,16.65815735,74.24968719
51706,26.76113701,83.39838409
51710,13.62360573,74.6916275
51708,26.27458191,73.00493622
51712,26.75251579,83.37297058
51714,19.60701561,72.73642731
51716,16.7016983,74.25257874
51718,21.2054863,72.83842468
51722,20.89569855,70.40797424
51720,27.37963295,72.34924316
51724,23.83766365,73.00145721
51726,19.61487961,72.73351288
51728,24.34549141,71.76225281
51730,22.53256416,71.48387146
51732,23.29304504,70.33904266
51734,26.75955963,83.38227844
51736,28.42021179,77.10060883
51738,20.11880112,72.77566528
51740,23.0184288,71.18282318
51742,21.51161385,70.46391296
51744,28.47511864,77.1058197
51748,19.84132195,85.81790924
51752,19.61720276,72.73558044
51750,19.14981079,77.31626129
51754,17.92190933,73.65562439
51756,28.46767235,77.04620361
51760,31.31836891,75.58569336
51758,26.29493332,73.01416016
51762,30.4547348,78.08140564
51764,22.50699425,73.47367096
51766,23.851511,72.12375641
51768,21.70307541,72.98710632
51770,24.58001709,73.68000031
51772,19.87815285,75.32006836
51774,22.81154633,70.82762909
51776,30.12630081,78.33016968
51778,23.8521347,72.12758636
51780,28.65927124,77.19099426
51782,8.083494186,77.55045319
51784,28.65893173,77.19100952
51786,23.8509922,72.13424683
51788,19.57270432,74.20774841
51790,25.34582138,82.98847198
51792,28.49707413,77.1001358
51794,28.45131683,77.08763885
51798,16.70422745,74.24845886
51796,21.19252014,72.73835754
51800,28.49389267,77.10430908
51802,19.07587433,72.9986496
51804,19.04581451,72.90196228
51806,19.05871582,72.90717316
51808,19.06273079,72.89865112
51810,19.0607605,72.89933777
51812,12.79133415,80.22225952
51814,13.03309631,80.2310257
51820,19.14257431,72.82519531
51822,12.87185764,80.22631073
51824,19.08666229,72.9079895
51828,13.06748676,80.21009064
51832,19.1082058,72.87956238
51834,19.18507195,72.83560181
51836,12.95451736,80.13397217
51842,19.10513115,72.92339325
51844,13.06193161,80.23901367
51846,19.10352516,72.88796234
51848,13.04873085,80.21453094
51852,12.98268414,80.20883179
51858,12.95639706,80.14192963
51856,19.07615089,72.98812866
51816,12.9655447,80.24507904
51818,13.03633595,80.22959137
51826,12.99884129,80.2552948
51830,12.94023323,80.21291351
51838,13.04627895,80.26924133
51840,13.02954006,80.25513458
51850,12.92401123,80.2525177
51854,12.89003944,80.24976349
51870,8.18893528,77.39817047
51872,20.91147041,70.37093353
51874,26.3120327,73.04174805
51860,13.04398441,80.11990356
51876,21.05324745,70.28888702
51864,12.66589832,80.20948792
51878,10.04358482,77.07302094
51866,12.90449619,80.23464966
51868,13.06692028,80.20985413
51880,19.5090847,72.7646637
51882,25.32606125,82.99137115
51898,11.63352489,76.25200653
52762,17.38867378,78.47490692
61538,27.33714676,88.60966492
56692,23.01214218,72.55893707
63054,17.64075089,75.38807678
63242,31.42554092,78.26499176
74700,22.64588356,88.43379974
55378,12.93072319,80.11187744
58484,23.03955841,72.53089905
55696,21.62298775,87.49686432
65782,32.30382156,77.12551117
64388,25.37453842,83.02658844
72764,11.40561104,76.70159149
62864,23.82640266,91.28187561
70962,21.20811844,81.37526703
58974,9.96103096,76.23983765
70376,21.05827522,86.49584198
54352,11.60465336,76.31014252
72516,9.523240089,77.94424438
64444,19.13381386,72.93840027
74044,32.5533638,76.12580872
59214,34.12338638,74.83919525
53706,12.92158413,77.52040863
68892,15.89044285,73.66539764
74914,22.46557999,70.05767822
65296,17.68198586,83.21578979
64120,26.93230247,75.79484558
62274,29.51077652,79.63900757
68558,17.4899292,78.41152954
56688,34.08222198,74.820755
60000,12.42440987,75.73818207
67844,18.85492516,82.57093048
61412,16.30087662,80.44831085
70972,16.9503746,73.79941559
71614,29.30215073,79.23047638
69240,17.1515007,78.29323578
63226,19.87994385,75.33247375
72382,22.59088135,88.40414429
57244,26.91654015,70.9143219
74336,21.23545647,81.66986847
65908,8.402303696,76.97398376
73590,25.22507095,84.99061584
56694,26.96135521,76.81443024
72778,26.18021011,91.75619507
51884,13.06719971,80.24559021
51886,13.06012058,80.2386322
51888,13.06406784,80.24935913
51890,13.04937553,80.23406982
51892,13.04857826,80.25328064
51894,13.0554657,80.2543335
51896,13.05886459,80.1999588
51900,13.01424408,80.17979431
51902,12.93006802,80.11997223
51904,13.0284586,80.24974823
51912,20.92840576,77.75011444
51916,15.3509016,75.10869598
51914,28.46935844,77.07659912
51918,15.22408772,73.94345856
51920,19.29827499,72.78606415
51928,28.46935081,77.07659912
51930,20.93120575,77.75569153
51932,22.7740345,73.61799622
51936,24.01125336,73.3477478
51940,28.46935081,77.07659912
51942,15.39999008,74.0199585
51944,21.62072372,87.50210571
51946,31.42548561,78.26499939
51948,10.05151463,77.19438171
51950,22.85454559,70.82052612
51952,28.44787407,77.02352905
52040,17.43226433,78.44790649
51954,28.94767189,77.67591858
51956,25.28931999,83.00655365
51958,17.27766991,77.91349792
51960,28.46935081,77.07659912
51962,19.88543129,75.32008362
51964,28.46935081,77.07659912
51966,28.46935081,77.07659912
51968,28.46724129,77.08203888
51970,25.27818489,83.00636292
51972,25.30621147,83.00794983
51974,18.65541267,72.86707306
51976,16.96542168,73.81306458
51978,14.69416523,77.59919739
51980,19.09522057,74.74959564
51982,12.30652332,75.64408875
51862,19.05485344,72.88821411
51984,14.68463039,77.60240173
51986,12.30652332,75.64408875
51988,14.90740204,77.97904205
51990,23.29334831,70.33901215
51992,14.41457653,77.7202301
51994,19.81284904,85.82966614
